연도,월,일,시간,지역,태양광발전량(MWh)
2022,12,2,10,광주시,19.34
2022,12,2,11,광주시,29.46
2022,12,2,12,광주시,34.86
2022,12,2,13,광주시,36.04
2022,12,2,14,광주시,33.91
2022,12,2,15,광주시,27.27
2022,12,2,16,광주시,15.22
2022,12,2,17,광주시,4.9
2022,12,2,18,광주시,2.07
2022,12,2,19,광주시,2.45
2022,12,2,20,광주시,2.61
2022,12,2,21,광주시,1.59
2022,12,2,22,광주시,0.79
2022,12,2,23,광주시,0.36
2022,12,2,24,광주시,0.14
2022,12,2,1,대구시,0
2022,12,2,2,대구시,0
2022,12,2,3,대구시,0
2022,12,2,4,대구시,0
2022,12,2,5,대구시,0
2022,12,2,6,대구시,0
2022,12,2,7,대구시,0
2022,12,2,8,대구시,0.36
2022,12,2,9,대구시,7.09
2022,12,2,10,대구시,19.22
2022,12,2,11,대구시,25.13
2022,12,2,12,대구시,29.07
2022,12,2,13,대구시,29.92
2022,12,2,14,대구시,28.75
2022,12,2,15,대구시,23.94
2022,12,2,16,대구시,13.37
2022,12,2,17,대구시,3.25
2022,12,2,18,대구시,1.14
2022,12,2,19,대구시,1.29
2022,12,2,20,대구시,3.43
2022,12,2,21,대구시,3.1
2022,12,2,22,대구시,2.54
2022,12,2,23,대구시,0.91
2022,12,2,24,대구시,0.04
2022,12,2,1,세종시,0
2022,12,2,2,세종시,0
2022,12,2,3,세종시,0
2022,12,2,4,세종시,0
2022,12,2,5,세종시,0
2022,12,2,6,세종시,0
2022,12,2,7,세종시,0
2022,12,2,8,세종시,0.1
2022,12,2,9,세종시,2.63
2022,12,2,10,세종시,7.86
2022,12,2,11,세종시,11.23
2022,12,2,12,세종시,13.92
2022,12,2,13,세종시,14.86
2022,12,2,14,세종시,14.79
2022,12,2,15,세종시,11.65
2022,12,2,16,세종시,6.79
2022,12,2,17,세종시,1.43
2022,12,2,18,세종시,1.53
2022,12,2,19,세종시,1.63
2022,12,2,20,세종시,1.63
2022,12,2,21,세종시,1.03
2022,12,2,22,세종시,0.73
2022,12,2,23,세종시,0.04
2022,12,2,24,세종시,0
2022,12,2,1,울산시,0
2022,12,2,2,울산시,0
2022,12,2,3,울산시,0
2022,12,2,4,울산시,0
2022,12,2,5,울산시,0
2022,12,2,6,울산시,0
2022,12,2,7,울산시,0
2022,12,2,8,울산시,0.39
2022,12,2,9,울산시,5.59
2022,12,2,10,울산시,14.08
2022,12,2,11,울산시,19.63
2022,12,2,12,울산시,22.49
2022,12,2,13,울산시,22.98
2022,12,2,14,울산시,21.22
2022,12,2,15,울산시,17.22
2022,12,2,16,울산시,9.53
2022,12,2,17,울산시,1.97
2022,12,2,18,울산시,0.26
2022,12,2,19,울산시,0.23
2022,12,2,20,울산시,0.42
2022,12,2,21,울산시,0.41
2022,12,2,22,울산시,0.29
2022,12,2,23,울산시,0.05
2022,12,2,24,울산시,0.05
2022,12,2,1,부산시,0
2022,12,2,2,부산시,0
2022,12,2,3,부산시,0
2022,12,2,4,부산시,0
2022,12,2,5,부산시,0
2022,12,2,6,부산시,0
2022,12,2,7,부산시,0
2022,12,2,8,부산시,0.81
2022,12,2,9,부산시,14.21
2022,12,2,10,부산시,36.42
2022,12,2,11,부산시,48.47
2022,12,2,12,부산시,55.56
2022,12,2,13,부산시,56.84
2022,12,2,14,부산시,52.35
2022,12,2,15,부산시,42.33
2022,12,2,16,부산시,24.47
2022,12,2,17,부산시,5.05
2022,12,2,18,부산시,1.2
2022,12,2,19,부산시,1.59
2022,12,2,20,부산시,2.94
2022,12,2,21,부산시,2.54
2022,12,2,22,부산시,1.55
